,Tamil_Nadu_demand
977,14726.94
978,14726.94
979,14726.94
980,14800.91
981,14800.91
982,14800.91
983,14800.91
984,15573.56
985,15573.56
986,15573.56
987,15573.56
988,16598.46
989,16598.46
990,16598.46
991,16598.46
992,17212.06
993,17212.06
994,17212.06
995,17212.06
996,16900.99
997,16900.99
998,16900.99
999,16900.99
1000,17197.11
1001,17197.11
1002,17197.11
1003,17197.11
1004,17185.85
1005,17185.85
1006,17185.85
1007,17185.85
1008,17073.44
1009,17073.44
1010,17073.44
1011,17073.44
1012,16914.84
1013,16914.84
1014,16914.84
1015,16914.84
1016,16701.2
1017,16701.2
1018,16701.2
1019,16701.2
1020,17636.21
1021,17636.21
1022,17636.21
1023,17636.21
1024,17744.65
1025,17744.65
1026,17744.65
1027,17744.65
1028,17097.95
1029,17097.95
1030,17097.95
1031,17097.95
1032,17449.92
1033,17449.92
1034,17449.92
1035,17449.92
1036,16604.35
1037,16604.35
1038,16604.35
1039,16604.35
1040,15860.69
1041,15860.69
1042,15860.69
1043,15860.69
1044,15784.48
1045,15784.48
1046,15784.48
1047,15784.48
1048,16006.14
1049,16006.14
1050,16006.14
1051,16006.14
1052,16154.16
1053,16154.16
1054,16154.16
1055,16154.16
1056,15198.39
1057,15198.39
1058,15198.39
1059,15198.39
1060,14742.95
1061,14742.95
1062,14742.95
1063,14742.95
1064,14424.77
1065,14424.77
1066,14424.77
1067,14424.77
1068,14174.27
1069,14174.27
1070,14174.27
1071,14174.27
1072,14072.54
1073,14072.54
1074,14072.54
1075,14072.54
1076,14057.86
1077,14057.86
1078,14057.86
1079,14057.86
1080,14446.48
1081,14446.48
1082,14446.48
1083,14446.48
1084,15151.67
1085,15151.67
1086,15151.67
1087,15151.67
1088,15709.56
1089,15709.56
1090,15709.56
1091,15709.56
1092,15633.0
1093,15633.0
1094,15633.0
1095,15633.0
1096,16087.9
1097,16087.9
1098,16087.9
1099,16087.9
1100,15829.7
1101,15829.7
1102,15829.7
1103,15829.7
1104,15607.18
1105,15607.18
1106,15607.18
1107,15607.18
1108,15860.73
1109,15860.73
1110,15860.73
1111,15860.73
1112,15378.89
1113,15378.89
1114,15378.89
1115,15378.89
1116,16367.4
1117,16367.4
1118,16367.4
1119,16367.4
1120,16933.42
1121,16933.42
1122,16933.42
1123,16933.42
1124,17218.82
1125,17218.82
1126,17218.82
1127,17218.82
1128,16797.54
1129,16797.54
1130,16797.54
1131,16797.54
1132,16835.12
1133,16835.12
1134,16835.12
1135,16835.12
1136,16404.28
1137,16404.28
1138,16404.28
1139,16404.28
1140,16739.79
1141,16739.79
1142,16739.79
1143,16739.79
1144,16942.19
1145,16942.19
1146,16942.19
