,snapshot,objective,stores,generators
451,2025-04-05 16:45:00,0.25,0.25,0.25
452,2025-04-05 17:00:00,0.25,0.25,0.25
453,2025-04-05 17:15:00,0.25,0.25,0.25
454,2025-04-05 17:30:00,0.25,0.25,0.25
455,2025-04-05 17:45:00,0.25,0.25,0.25
456,2025-04-05 18:00:00,0.25,0.25,0.25
457,2025-04-05 18:15:00,0.25,0.25,0.25
458,2025-04-05 18:30:00,0.25,0.25,0.25
459,2025-04-05 18:45:00,0.25,0.25,0.25
460,2025-04-05 19:00:00,0.25,0.25,0.25
461,2025-04-05 19:15:00,0.25,0.25,0.25
462,2025-04-05 19:30:00,0.25,0.25,0.25
463,2025-04-05 19:45:00,0.25,0.25,0.25
464,2025-04-05 20:00:00,0.25,0.25,0.25
465,2025-04-05 20:15:00,0.25,0.25,0.25
466,2025-04-05 20:30:00,0.25,0.25,0.25
467,2025-04-05 20:45:00,0.25,0.25,0.25
468,2025-04-05 21:00:00,0.25,0.25,0.25
469,2025-04-05 21:15:00,0.25,0.25,0.25
470,2025-04-05 21:30:00,0.25,0.25,0.25
471,2025-04-05 21:45:00,0.25,0.25,0.25
472,2025-04-05 22:00:00,0.25,0.25,0.25
473,2025-04-05 22:15:00,0.25,0.25,0.25
474,2025-04-05 22:30:00,0.25,0.25,0.25
475,2025-04-05 22:45:00,0.25,0.25,0.25
476,2025-04-05 23:00:00,0.25,0.25,0.25
477,2025-04-05 23:15:00,0.25,0.25,0.25
478,2025-04-05 23:30:00,0.25,0.25,0.25
479,2025-04-05 23:45:00,0.25,0.25,0.25
480,2025-04-06 00:00:00,0.25,0.25,0.25
481,2025-04-06 00:15:00,0.25,0.25,0.25
482,2025-04-06 00:30:00,0.25,0.25,0.25
483,2025-04-06 00:45:00,0.25,0.25,0.25
484,2025-04-06 01:00:00,0.25,0.25,0.25
485,2025-04-06 01:15:00,0.25,0.25,0.25
486,2025-04-06 01:30:00,0.25,0.25,0.25
487,2025-04-06 01:45:00,0.25,0.25,0.25
488,2025-04-06 02:00:00,0.25,0.25,0.25
489,2025-04-06 02:15:00,0.25,0.25,0.25
490,2025-04-06 02:30:00,0.25,0.25,0.25
491,2025-04-06 02:45:00,0.25,0.25,0.25
492,2025-04-06 03:00:00,0.25,0.25,0.25
493,2025-04-06 03:15:00,0.25,0.25,0.25
494,2025-04-06 03:30:00,0.25,0.25,0.25
495,2025-04-06 03:45:00,0.25,0.25,0.25
496,2025-04-06 04:00:00,0.25,0.25,0.25
497,2025-04-06 04:15:00,0.25,0.25,0.25
498,2025-04-06 04:30:00,0.25,0.25,0.25
499,2025-04-06 04:45:00,0.25,0.25,0.25
500,2025-04-06 05:00:00,0.25,0.25,0.25
501,2025-04-06 05:15:00,0.25,0.25,0.25
502,2025-04-06 05:30:00,0.25,0.25,0.25
503,2025-04-06 05:45:00,0.25,0.25,0.25
504,2025-04-06 06:00:00,0.25,0.25,0.25
505,2025-04-06 06:15:00,0.25,0.25,0.25
506,2025-04-06 06:30:00,0.25,0.25,0.25
507,2025-04-06 06:45:00,0.25,0.25,0.25
508,2025-04-06 07:00:00,0.25,0.25,0.25
509,2025-04-06 07:15:00,0.25,0.25,0.25
510,2025-04-06 07:30:00,0.25,0.25,0.25
511,2025-04-06 07:45:00,0.25,0.25,0.25
512,2025-04-06 08:00:00,0.25,0.25,0.25
513,2025-04-06 08:15:00,0.25,0.25,0.25
514,2025-04-06 08:30:00,0.25,0.25,0.25
515,2025-04-06 08:45:00,0.25,0.25,0.25
