date,coal,oil_gas,nuclear,hydro,solar,wind,comparable_total,other_res,system_plant_generation,market_import,unserved_energy,objective,solver_status,termination_condition,runtime_seconds,max_nodal_residual_mw,max_corridor_loading_pct,most_loaded_corridor,fiscal_week
2025-11-01,211.5511707242021,0.0,35.83917354120941,17.344298940575946,63.42352829477986,37.21457864088093,365.3727501416483,0.9629452845274948,366.33569542617573,4.556694573824261,0.0,794606830.6893156,ok,optimal,34.58201559999998,2.0463630789890885e-12,100.0,chennai_north__vellore,31
2025-11-04,214.16836251495067,0.0,35.83917354120941,17.265371997973258,63.1078380142038,43.23046754679274,373.6112136151299,1.0849195634115485,374.6961331785414,4.476823594801696,0.0,799211127.8981224,ok,optimal,109.1263541999997,3.183231456205249e-12,100.0,chennai_north__vellore,32
2025-11-11,209.88355855678637,0.0,35.83917354120941,19.453581440401123,62.8378756475423,39.600987127464464,367.6151763134037,1.1331901531313595,368.748366466535,3.9088137058627868,0.0,785319746.5558174,ok,optimal,48.77648649999992,2.651177055668086e-10,100.0,chennai_north__vellore,33
2025-11-21,191.6667440578071,0.0,35.83917354120941,17.171816312501484,62.246037222588285,41.94834142277429,348.87211255688055,0.45949025668883264,349.3316028135694,2.600353299999161,0.0,710800282.6380017,ok,optimal,50.58210919999965,2.5011104298755527e-12,100.0,chennai_north__vellore,34
2025-11-28,174.8869421335307,0.0,35.83917354120941,17.00150432732365,61.846303844009576,37.194621820736025,326.76854566680936,0.46108335363951636,327.2296290204489,2.566992663434683,0.0,657448424.8709533,ok,optimal,41.48071019999952,7.673861546209082e-12,100.00000000000031,erode__tirunelveli,35
2025-12-02,165.2493222862885,0.0,35.83917354120941,15.67939576862332,61.334801824941685,40.437509551344085,318.54020297240703,0.41116270033996916,318.95136567274693,2.0420938521975898,0.0,623105490.9504309,ok,optimal,82.26229010000043,2.8194335754960775e-11,100.0,chennai_north__vellore,36
2025-12-12,189.4624243192119,0.0,35.83917354120941,15.149477764196174,60.65297404989114,38.301017267993686,339.40506694250234,0.40014575106972294,339.805212693572,2.044198086003016,0.0,700885293.3442616,ok,optimal,32.682352800000444,2.0463630789890885e-12,100.0,chennai_north__vellore,37
2025-12-19,187.191748705566,0.0,35.83917354120941,15.415257846141984,60.59172465724088,40.695899648673425,339.73380439883175,0.40014575106972566,340.13395014990147,2.1897350783486242,0.0,696099118.3536128,ok,optimal,31.82800060000045,2.7284841053187847e-12,100.0,chennai_north__vellore,38
2025-12-24,203.3303468182076,0.0,35.83917354120941,16.024791768785633,61.11041037695085,33.94786402897117,350.2525865341247,0.701665380166794,350.9542519142915,2.264826542747022,0.0,739174806.9726759,ok,optimal,41.01239900000019,2.7284841053187847e-12,100.0,chennai_north__vellore,39
2025-12-31,217.13220809747924,0.0,35.83917354120941,16.436594243141272,61.19296220420133,36.2016942663,366.8026323523313,2.416757242001596,369.2193895943328,2.8279653324869733,0.0,791390994.4490613,ok,optimal,33.00189059999957,3.637978807091713e-12,100.0,chennai_north__vellore,40
2026-01-06,207.0008475790573,0.0,35.83917354120941,14.892044523026005,61.095630982262236,34.00787355390817,352.8355701794631,1.7803963947211554,354.61596657418426,2.4311186926350064,0.0,765901693.1637098,ok,optimal,44.18916719999925,3.410605131648481e-12,100.0,chennai_north__vellore,41
2026-01-13,178.10557249404494,0.0,35.83917354120941,14.583846738500863,60.96653646910939,38.51195261131812,328.00708185418273,0.38303777600417016,328.39011963018686,2.062477246328542,0.0,661044278.9280387,ok,optimal,52.472605200000544,2.7284841053187847e-12,100.0,chennai_north__vellore,42
2026-01-23,194.04026102972213,0.0,35.83917354120941,16.12288825553446,61.95583489450837,36.201694266299995,344.15985198727435,2.706729031568719,346.8665810188431,3.542233267193861,0.0,745567727.9670421,ok,optimal,36.80465019999974,4.320099833421409e-12,100.0,chennai_north__vellore,43
2026-01-30,194.5260020108341,0.0,35.83917354120941,14.801758079987565,61.520416916401125,40.09900729358118,346.7863578420134,0.3738973811428388,347.1602552231562,3.105061989864997,0.0,725147760.374238,ok,optimal,42.08743359999971,2.7284841053187847e-12,100.0,chennai_north__vellore,44
2026-02-05,208.31598332470068,0.0,35.83917354120941,14.62236513231823,64.64910817577142,35.20087744663503,358.6275076206348,2.6810313627974764,361.30853898343224,4.017617273224552,0.0,787224879.3053262,ok,optimal,33.423478099999556,3.183231456205249e-12,100.0,chennai_north__vellore,45
2026-02-13,218.67453346194884,0.0,35.83917354120941,14.275237002920708,64.91515807371941,33.06240271343004,366.7665047932284,2.679884386164116,369.4463891793925,5.208533024186415,0.0,826566564.4175655,ok,optimal,42.00181950000024,2.5011104298755527e-12,100.0,chennai_north__vellore,46
2026-02-21,231.66258422994923,0.0,35.83917354120941,14.985996141444016,65.06947754152394,31.55914126817024,379.11637272229683,2.9917355803327386,382.1081083026296,7.0219974316895675,0.0,877055661.285748,ok,optimal,43.88522179999927,4.092726157978177e-12,100.0,chennai_north__vellore,47
2026-02-24,239.86842763520283,0.0,35.83917354120941,14.897038232225608,65.74558854278882,37.281142321001155,393.63137027242783,3.385463065377665,397.01683333780545,7.3685471879274465,0.0,907910113.9370867,ok,optimal,37.01709169999958,6.502887117676437e-11,100.0,chennai_north__vellore,48
2026-03-02,203.31869163663853,0.0,35.83917354120941,14.380214624178,67.79658091773337,33.94786402897117,355.28252474873045,0.7989873344773146,356.08151208320777,3.0054651257237173,0.0,741815200.4764534,ok,optimal,31.949986599999647,3.183231456205249e-12,100.0,chennai_north__vellore,49
2026-03-09,197.59096113348645,0.0,35.83917354120941,13.270515480249362,68.2256419042963,35.915900032575514,350.842192091817,0.3337823561634316,351.1759744479805,2.2522962078322166,0.0,724575874.1584057,ok,optimal,43.21124050000071,9.549694368615746e-11,100.0,chennai_north__vellore,50
2026-03-21,187.35217413095455,0.0,35.83917354120941,13.867243897082165,69.2624638236672,34.69598930051701,341.01704469343036,0.8240271291615845,341.8410718225919,2.639312451565964,0.0,709273473.1348472,ok,optimal,40.39588179999919,2.2737367544323206e-12,100.0,chennai_north__vellore,51
2026-03-23,186.0983594700697,0.0,35.83917354120941,14.102212896008933,69.47031986829103,39.65476252437851,345.16482829995755,1.893077747692537,347.05790604765014,2.9443188164862697,0.0,712892739.2140052,ok,optimal,42.76284359999954,4.547473508864641e-12,100.0,chennai_north__vellore,52
2026-03-30,192.14571202247345,0.0,35.83917354120941,13.700672645714706,69.77396400197065,35.12215477772631,346.5816769890946,0.35012753218600917,346.9318045212805,3.013302591363812,0.0,720713180.1420735,ok,optimal,41.984153100000185,3.183231456205249e-12,100.0,chennai_north__vellore,53
