fiscal_week,date,technology,observed_mu,modeled_mu,error_mu,absolute_error_mu,percentage_error
20,2025-08-14,coal,173.6,161.88129396541183,-11.718706034588166,11.718706034588166,-6.750406701951709
20,2025-08-14,oil_gas,1.83,0.0,-1.83,1.83,-100.0
20,2025-08-14,nuclear,29.94,35.83917354120941,5.899173541209411,5.899173541209411,19.703318440913197
20,2025-08-14,hydro,21.83,27.971125483687413,6.141125483687414,6.141125483687414,28.13158719050579
20,2025-08-14,solar,47.12,57.509726958052546,10.389726958052549,10.389726958052549,22.049505428804224
20,2025-08-14,wind,147.13,65.31372651074109,-81.8162734892589,81.8162734892589,-55.60815162730844
20,2025-08-14,comparable_total,421.45,348.51504645910234,-72.93495354089765,72.93495354089765,-17.30571919347435
21,2025-08-22,coal,185.0,220.60392164267665,35.60392164267665,35.60392164267665,19.245363050095488
21,2025-08-22,oil_gas,1.85,0.0,-1.85,1.85,-100.0
21,2025-08-22,nuclear,29.91,35.83917354120941,5.929173541209412,5.929173541209412,19.823381949881018
21,2025-08-22,hydro,27.11,27.7518316828888,0.6418316828887995,0.6418316828887995,2.3675089741379547
21,2025-08-22,solar,36.56,57.116597886077805,20.556597886077803,20.556597886077803,56.22701828795898
21,2025-08-22,wind,43.52,61.601535531611354,18.08153553161135,18.08153553161135,41.54764598256284
21,2025-08-22,comparable_total,323.95,402.913060284464,78.963060284464,78.963060284464,24.3750764884902
22,2025-08-26,coal,186.25,208.84968319030824,22.59968319030824,22.59968319030824,12.134058088756102
22,2025-08-26,oil_gas,1.82,0.0,-1.82,1.82,-100.0
22,2025-08-26,nuclear,30.04,35.83917354120941,5.799173541209413,5.799173541209413,19.30483868578367
22,2025-08-26,hydro,19.1,29.165683164499338,10.065683164499337,10.065683164499337,52.699911856017465
22,2025-08-26,solar,53.91,56.90523420904411,2.9952342090441135,2.9952342090441135,5.555990000081828
22,2025-08-26,wind,144.82,63.576751095199214,-81.24324890480078,81.24324890480078,-56.09946754923407
22,2025-08-26,comparable_total,435.94,394.3365252002603,-41.60347479973967,41.60347479973967,-9.543394687282579
23,2025-09-05,coal,182.35,223.17174481190514,40.82174481190515,40.82174481190515,22.38647919490274
23,2025-09-05,oil_gas,1.83,0.0,-1.83,1.83,-100.0
23,2025-09-05,nuclear,24.4,35.83917354120941,11.439173541209414,11.439173541209414,46.88185877544842
23,2025-09-05,hydro,29.08,26.831054351625948,-2.2489456483740504,2.2489456483740504,-7.733650785330297
23,2025-09-05,solar,49.22,61.97381160579086,12.753811605790858,12.753811605790858,25.911848041021656
23,2025-09-05,wind,126.8,53.23778568573532,-73.56221431426468,73.56221431426468,-58.01436460115511
23,2025-09-05,comparable_total,413.68,401.0535699962667,-12.626430003733333,12.626430003733333,-3.0522215247856637
24,2025-09-09,coal,198.95,210.4349707927541,11.484970792754098,11.484970792754098,5.772792557302889
24,2025-09-09,oil_gas,1.83,0.0,-1.83,1.83,-100.0
24,2025-09-09,nuclear,24.64,35.83917354120941,11.199173541209412,11.199173541209412,45.45119131984339
24,2025-09-09,hydro,24.89,26.464514799830457,1.5745147998304567,1.5745147998304567,6.325893129089821
24,2025-09-09,solar,43.69,61.71126461773769,18.021264617737693,18.021264617737693,41.24803071123299
24,2025-09-09,wind,30.88,55.00137101036721,24.12137101036721,24.12137101036721,78.1132480905674
24,2025-09-09,comparable_total,324.88,389.4512947618989,64.57129476189891,64.57129476189891,19.875429316024046
25,2025-09-16,coal,192.15,207.26927662812784,15.119276628127835,15.119276628127835,7.868475996943968
25,2025-09-16,oil_gas,2.41,0.0,-2.41,2.41,-100.0
25,2025-09-16,nuclear,24.71,35.83917354120941,11.129173541209411,11.129173541209411,45.03914828494298
25,2025-09-16,hydro,20.4,26.224204365988445,5.824204365988447,5.824204365988447,28.55002140190415
25,2025-09-16,solar,44.95,61.237349033142884,16.28734903314288,16.28734903314288,36.23436937295413
25,2025-09-16,wind,97.92,49.92332945436936,-47.99667054563064,47.99667054563064,-49.01620766506397
25,2025-09-16,comparable_total,382.54,380.493333022838,-2.046666977162033,2.046666977162033,-0.5350203840544866
26,2025-09-25,coal,190.48,196.47478572968078,5.994785729680785,5.994785729680785,3.1471995640911308
26,2025-09-25,oil_gas,3.41,0.0,-3.41,3.41,-100.0
26,2025-09-25,nuclear,24.55,35.83917354120941,11.289173541209411,11.289173541209411,45.984413609814304
26,2025-09-25,hydro,20.58,26.57209283046303,5.992092830463033,5.992092830463033,29.11609732975235
26,2025-09-25,solar,43.35,60.6098848279734,17.2598848279734,17.2598848279734,39.81518991458685
26,2025-09-25,wind,127.31,49.92332945436936,-77.38667054563064,77.38667054563064,-60.78601095407324
26,2025-09-25,comparable_total,409.68,369.419266383696,-40.26073361630398,40.26073361630398,-9.827361261546567
27,2025-09-30,coal,194.99,191.91428060579847,-3.075719394201542,3.075719394201542,-1.577372887943762
27,2025-09-30,oil_gas,3.3,0.0,-3.3,3.3,-100.0
27,2025-09-30,nuclear,24.6,35.83917354120941,11.23917354120941,11.23917354120941,45.687697321989475
