,chennai_north_demand,chennai_south_demand,coimbatore_demand,erode_demand,madurai_demand,tirunelveli_demand,trichy_demand,vellore_demand,villupuram_demand
80,1346.183227265563,1680.8836526933271,2440.952851131009,2062.621160802245,1558.3157024712823,1327.2280576186738,1919.32511230635,1921.8371666986745,1624.2330690128756
81,1345.6490269271328,1680.2433410615065,2439.960415272647,2061.8436959212477,1557.6879097500614,1326.7072700277317,1918.5829743658737,1921.0867622143758,1623.548604459423
82,1417.9790711552482,1766.940719025469,2574.3349642290345,2167.11144882749,1642.6902431919066,1397.2212453595148,2019.0675045998958,2022.690571934524,1716.2242316769143
83,1421.953623912468,1771.7047601138947,2581.7188769551267,2172.8959363392123,1647.3611411895063,1401.0960047083902,2024.5891529130088,2028.2737249157892,1721.3167789526033
84,1410.306011748706,1757.7435155865926,2560.0799764452877,2155.9442259913562,1633.672856832554,1389.7408417805286,2008.407705091237,2011.9120347964165,1706.3928317273212
85,1363.7581628016671,1701.949599011021,2473.603516021431,2088.1993833942697,1578.9697826201532,1344.3617201800027,1943.7410954580953,1946.525115186892,1646.751625326468
86,1331.8714293629316,1663.7290198523042,2414.364433987839,2041.7920458564993,1541.4964646226915,1313.2756015538491,1899.4424438468282,1901.7330286966833,1605.895532220374
87,1383.6326305760854,1725.771846914494,2510.526245316509,2117.124300904652,1602.3262751367668,1363.7371781288161,1971.351704289817,1974.4432737279355,1672.2165450049226
88,1444.4658656067902,1798.688738180233,2623.542055081926,2205.6598191949947,1673.8175480042053,1423.043007125396,2055.8642897570344,2059.897230001312,1750.1614470481068
89,1476.6627249198298,1837.2810453038346,2683.357288076353,2252.518507955545,1711.6553262098398,1454.4314649590503,2100.593783809025,2105.1249580103167,1791.4149007562053
90,1424.5079024046745,1774.7664096708293,2586.464208220469,2176.61338404771,1650.3629315853912,1403.5861501591785,2028.1376848835794,2031.8617833590545,1724.5895456691123
91,1441.6398009774875,1795.3013160386881,2618.2918003096975,2201.5468191786217,1670.4963542940152,1420.2878995669353,2051.9381788342916,2055.927386820422,1746.5404439798413
92,1389.9118275365806,1733.2983169727358,2522.191719441117,2126.262923190052,1609.7055930879585,1369.8587164784863,1980.0750800813805,1983.263817666183,1680.2620055455075
