name,bus,p_nom,p_min_pu,p_max_pu,p_init,e_sum_max,carrier,marginal_cost,committable,start_up_cost,shut_down_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down
tamil_nadu_thiruvallur__aggregate_01,Chennai North,7.2,0.0,1.0,,inf,wind,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_thoothukkudi__aggregate_01,Tirunelveli,2174.3775,0.0,1.0,,inf,wind,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_tiruchirappalli__aggregate_01,Trichy,6.4,0.0,1.0,,inf,wind,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_tirunelveli__aggregate_01,Tirunelveli,3807.540500000001,0.0,1.0,,inf,wind,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_tiruppur__aggregate_01,Coimbatore,786.8149999999999,0.0,1.0,,inf,wind,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_tiruppur_karur__aggregate_01__trichy,Trichy,150.0,0.0,1.0,,inf,wind,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_tiruppur_karur__aggregate_01__coimbatore,Coimbatore,150.0,0.0,1.0,,inf,wind,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_viluppuram__aggregate_01,Villupuram,1.7,0.0,1.0,,inf,wind,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_chennai_16__aggregate_01,Chennai North,16.0,0.0,1.0,,inf,solar,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_coimbatore_11_26__aggregate_01,Coimbatore,11.26,0.0,1.0,,inf,solar,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_cuddalore_140__aggregate_01,Villupuram,140.0,0.0,1.0,,inf,solar,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_dindigul_109_46__aggregate_01,Madurai,109.46,0.0,1.0,,inf,solar,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_erode_7__aggregate_01,Erode,7.0,0.0,1.0,,inf,solar,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_kanniyakumari_1__aggregate_01,Tirunelveli,1.0,0.0,1.0,,inf,solar,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_karur_156_49__aggregate_01,Trichy,156.49,0.0,1.0,,inf,solar,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_krishnagiri_0_75__aggregate_01,Vellore,0.75,0.0,1.0,,inf,solar,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_madurai_1__aggregate_01,Madurai,1.0,0.0,1.0,,inf,solar,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_n_a_251__aggregate_01__trichy,Trichy,20.73444606013166,0.0,1.0,,inf,solar,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_n_a_251__aggregate_01__coimbatore,Coimbatore,15.461172648110656,0.0,1.0,,inf,solar,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_n_a_251__aggregate_01__villupuram,Villupuram,7.3136752058565175,0.0,1.0,,inf,solar,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_n_a_251__aggregate_01__vellore,Vellore,2.071007151153329,0.0,1.0,,inf,solar,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_n_a_251__aggregate_01__madurai,Madurai,74.88974712425288,0.0,1.0,,inf,solar,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_n_a_251__aggregate_01__erode,Erode,3.6333746801950775,0.0,1.0,,inf,solar,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_n_a_251__aggregate_01__chennai_south,Chennai South,0.8420573556941523,0.0,1.0,,inf,solar,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_n_a_251__aggregate_01__tirunelveli,Tirunelveli,124.45546346058464,0.0,1.0,,inf,solar,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_n_a_251__aggregate_01__chennai_north,Chennai North,1.5990563140211116,0.0,1.0,,inf,solar,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_n_a_off_grid_75_91__aggregate_01__trichy,Trichy,10.49002991442805,0.0,1.0,,inf,solar,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_n_a_off_grid_75_91__aggregate_01__chennai_north,Chennai North,11.733996376897958,0.0,1.0,,inf,solar,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_n_a_off_grid_75_91__aggregate_01__coimbatore,Coimbatore,13.242136080852381,0.0,1.0,,inf,solar,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_n_a_off_grid_75_91__aggregate_01__villupuram,Villupuram,4.040403070102257,0.0,1.0,,inf,solar,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_n_a_off_grid_75_91__aggregate_01__vellore,Vellore,3.759040473863609,0.0,1.0,,inf,solar,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_n_a_off_grid_75_91__aggregate_01__madurai,Madurai,5.894139274902868,0.0,1.0,,inf,solar,0.0,False,0.0,0.0,0,0,1,0,,,,
