component_type,excel_row,record_kind,unit_sequence,source,plant_name,state,district,commissioning_date,capacity_mw,implementing_agency,duplicate_group_size,component_id,original_component_id,bus,allocated_districts,allocation_method,allocation_confidence,allocation_source_url,allocation_notes,allocation_share,original_capacity_mw
Generator,41.0,unit,1.0,Coal,North Chennai TPS,Tamil Nadu,Thiruvallur,1994-10-01,210.0,Tamil Nadu Generation & Distribution Corp. Ltd. (TANGEDCO),1.0,north_chennai_tps__unit_01,north_chennai_tps__unit_01,Chennai North,Tiruvallur,District carried from original workbook,Existing,,No online correction applied because a single district was already provided.,1.0,210.0
Generator,42.0,unit,2.0,Coal,North Chennai TPS,Tamil Nadu,Thiruvallur,1995-03-01,210.0,Tamil Nadu Generation & Distribution Corp. Ltd. (TANGEDCO),1.0,north_chennai_tps__unit_02,north_chennai_tps__unit_02,Chennai North,Tiruvallur,District carried from original workbook,Existing,,No online correction applied because a single district was already provided.,1.0,210.0
Generator,43.0,unit,3.0,Coal,North Chennai TPS,Tamil Nadu,Thiruvallur,1996-02-01,210.0,Tamil Nadu Generation & Distribution Corp. Ltd. (TANGEDCO),1.0,north_chennai_tps__unit_03,north_chennai_tps__unit_03,Chennai North,Tiruvallur,District carried from original workbook,Existing,,No online correction applied because a single district was already provided.,1.0,210.0
Generator,44.0,unit,5.0,Coal,North Chennai TPS,Tamil Nadu,Thiruvallur,2013-09-13,600.0,Tamil Nadu Generation & Distribution Corp. Ltd. (TANGEDCO),1.0,north_chennai_tps__unit_05,north_chennai_tps__unit_05,Chennai North,Tiruvallur,District carried from original workbook,Existing,,No online correction applied because a single district was already provided.,1.0,600.0
Generator,45.0,unit,4.0,Coal,North Chennai TPS,Tamil Nadu,Thiruvallur,2013-03-09,600.0,Tamil Nadu Generation & Distribution Corp. Ltd. (TANGEDCO),1.0,north_chennai_tps__unit_04,north_chennai_tps__unit_04,Chennai North,Tiruvallur,District carried from original workbook,Existing,,No online correction applied because a single district was already provided.,1.0,600.0
Generator,46.0,unit,6.0,Coal,North Chennai TPS,Tamil Nadu,Thiruvallur,2026-01-24,800.0,Tamil Nadu Generation & Distribution Corp. Ltd. (TANGEDCO),1.0,north_chennai_tps__unit_06,north_chennai_tps__unit_06,Chennai North,Tiruvallur,District carried from original workbook,Existing,,No online correction applied because a single district was already provided.,1.0,800.0
Generator,47.0,unit,1.0,Coal,OPG Power Generation Private Ltd.,Tamil Nadu,Thiruvallur,2024-01-01,77.0,OPG Power Ventures Plc,2.0,opg_power_generation_private_ltd__unit_01,opg_power_generation_private_ltd__unit_01,Chennai North,Tiruvallur,District carried from original workbook,Existing,,No online correction applied because a single district was already provided.,1.0,77.0
Generator,48.0,unit,2.0,Coal,OPG Power Generation Private Ltd.,Tamil Nadu,Thiruvallur,2024-01-01,77.0,OPG Power Ventures Plc,2.0,opg_power_generation_private_ltd__unit_02,opg_power_generation_private_ltd__unit_02,Chennai North,Tiruvallur,District carried from original workbook,Existing,,No online correction applied because a single district was already provided.,1.0,77.0
Generator,49.0,unit,3.0,Coal,OPG Power Generation Private Ltd.,Tamil Nadu,Thiruvallur,2024-01-01,80.0,OPG Power Ventures Plc,1.0,opg_power_generation_private_ltd__unit_03,opg_power_generation_private_ltd__unit_03,Chennai North,Tiruvallur,District carried from original workbook,Existing,,No online correction applied because a single district was already provided.,1.0,80.0
Generator,50.0,unit,4.0,Coal,OPG Power Generation Private Ltd.,Tamil Nadu,Thiruvallur,2024-01-01,180.0,OPG Power Ventures Plc,1.0,opg_power_generation_private_ltd__unit_04,opg_power_generation_private_ltd__unit_04,Chennai North,Tiruvallur,District carried from original workbook,Existing,,No online correction applied because a single district was already provided.,1.0,180.0
Generator,51.0,unit,1.0,Coal,TCP Limited,Tamil Nadu,Thiruvallur,2024-12-23,63.5,TCP Limited,1.0,tcp_limited__unit_01,tcp_limited__unit_01,Chennai North,Tiruvallur,District carried from original workbook,Existing,,No online correction applied because a single district was already provided.,1.0,63.5
Generator,52.0,unit,1.0,Coal,Tulsyan NEC Limited,Tamil Nadu,Thiruvallur,2026-03-01,35.0,Tulsyan NEC Limited,2.0,tulsyan_nec_limited__unit_01,tulsyan_nec_limited__unit_01,Chennai North,Tiruvallur,District carried from original workbook,Existing,,No online correction applied because a single district was already provided.,1.0,35.0
Generator,53.0,unit,2.0,Coal,Tulsyan NEC Limited,Tamil Nadu,Thiruvallur,2026-03-01,35.0,Tulsyan NEC Limited,2.0,tulsyan_nec_limited__unit_02,tulsyan_nec_limited__unit_02,Chennai North,Tiruvallur,District carried from original workbook,Existing,,No online correction applied because a single district was already provided.,1.0,35.0
Generator,54.0,unit,1.0,Coal,Tuticorin (P) TPP,Tamil Nadu,Thoothukudi,2013-01-31,150.0,Ind Barath Power Infra Limited (IBPIL),1.0,tuticorin_p_tpp__unit_01,tuticorin_p_tpp__unit_01,Tirunelveli,Thoothukudi,District carried from original workbook,Existing,,No online correction applied because a single district was already provided.,1.0,150.0
Generator,55.0,unit,2.0,Coal,Tuticorin (P) TPP,Tamil Nadu,Thoothukudi,2013-12-30,150.0,Ind Barath Power Infra Limited (IBPIL),1.0,tuticorin_p_tpp__unit_02,tuticorin_p_tpp__unit_02,Tirunelveli,Thoothukudi,District carried from original workbook,Existing,,No online correction applied because a single district was already provided.,1.0,150.0
Generator,57.0,unit,1.0,Coal,Tuticorin Joint Venture,Tamil Nadu,Thoothukudi,2015-03-10,500.0,NTPL (Joint Venture -NLC and TANGEDCO),1.0,tuticorin_joint_venture__unit_01,tuticorin_joint_venture__unit_01,Tirunelveli,Thoothukudi,District carried from original workbook,Existing,,No online correction applied because a single district was already provided.,1.0,500.0
Generator,58.0,unit,2.0,Coal,Tuticorin Joint Venture,Tamil Nadu,Thoothukudi,2015-07-09,500.0,NTPL (Joint Venture -NLC and TANGEDCO),1.0,tuticorin_joint_venture__unit_02,tuticorin_joint_venture__unit_02,Tirunelveli,Thoothukudi,District carried from original workbook,Existing,,No online correction applied because a single district was already provided.,1.0,500.0
