date,reported_page_date,reservoir,full_depth_ft,full_capacity_mcft,current_level_ft,current_storage_mcft,current_inflow_cusec,current_outflow_cusec,last_year_level_ft,last_year_storage_mcft,source_url,date_validation,storage_fraction_gross,storage_fraction,inflow_mcft_per_day,outflow_mcft_per_day,current_storage_m3,full_capacity_m3,inflow_m3_per_day,outflow_m3_per_day,agriculture_storage_bcm,cwc_live_capacity_bcm,cwc_nonlive_offset_bcm,calibrated_live_storage_bcm,live_soc_fraction,live_capacity_source,soc_calibration_rule
2025-04-02,2025-04-02,Sholayar,160.0,5046.0,1.98,20.0,10.0,10.0,6.38,69.0,https://tnagriculture.in/ARS/home/reservoir/2025-04-02,verified,0.003963535473642489,0.003963535473642489,0.8640000000000001,0.8640000000000001,566336.93184,142886807.903232,24465.755455488004,24465.755455488004,0.0005663369318400001,0.143,0.0,0.0005663369318400001,0.003960398124755246,CWC static live capacity,Agriculture storage clipped to CWC live capacity
2025-04-02,2025-04-02,Parambikulam,72.0,13408.0,50.75,8788.0,29.0,1210.0,19.68,2957.0,https://tnagriculture.in/ARS/home/reservoir/2025-04-02,verified,0.6554295942720764,0.6554295942720764,2.5056000000000003,104.54400000000001,248848447.85049602,379672279.10553604,70950.69082091522,2960356.4101140485,0.24884844785049604,0.38,0.0,0.24884844785049604,0.6548643364486738,CWC static live capacity,Agriculture storage clipped to CWC live capacity
2025-04-02,2025-04-02,Aliyar,120.0,3864.0,64.7,741.0,314.0,563.0,55.3,442.0,https://tnagriculture.in/ARS/home/reservoir/2025-04-02,verified,0.19177018633540371,0.19177018633540371,27.1296,48.6432,20982783.324672002,109416295.231488,768224.7213023233,1377422.0321439744,0.020982783324672002,0.095,0.014416,0.0065667833246720025,0.06912403499654739,CWC static live capacity,"Agriculture storage - 0.014416 BCM, clipped to CWC live capacity"
2025-04-02,2025-04-02,Thirumurthy,60.0,1744.0,35.05,801.0,716.0,956.0,51.81,1398.0,https://tnagriculture.in/ARS/home/reservoir/2025-04-02,verified,0.4592889908256881,0.4592889908256881,61.8624,82.5984,22681794.120192003,49384580.456448,1751748.090612941,2338926.2215446527,0.022681794120192004,,0.0,,,,
2025-04-03,2025-04-03,METTUR,120.0,93470.0,107.97,75555.0,425.0,1003.0,59.26,24138.0,https://tnagriculture.in/ARS/home/reservoir/2025-04-03,verified,0.8083342248849898,0.8083342248849898,36.72,86.6592,2139479344.2585602,2646775650.9542403,1039794.60685824,2453915.2721854467,2.13947934425856,2.647,0.0,2.13947934425856,0.8082657137357613,CWC static live capacity,Agriculture storage clipped to CWC live capacity
2025-04-03,2025-04-03,Krishna Raja Sagar,124.8,49452.0,104.24,26319.0,71.0,793.0,85.31,13330.0,https://tnagriculture.in/ARS/home/reservoir/2025-04-03,verified,0.5322130550837175,0.5322130550837175,6.1344,68.51520000000001,745271085.454848,1400324697.6675842,173706.86373396483,1940134.4076201988,0.7452710854548481,,0.0,,,,
2025-04-03,2025-04-03,Kabini,65.0,19516.0,50.87,11618.0,79.0,950.0,45.9,9325.0,https://tnagriculture.in/ARS/home/reservoir/2025-04-03,verified,0.5953064152490264,0.5953064152490264,6.8256000000000006,82.08,328985123.705856,552631578.089472,193279.46809835522,2324246.76827136,0.32898512370585603,,0.0,,,,
2025-04-03,2025-04-03,Harangi,129.0,8500.0,104.02,3545.0,72.0,100.0,97.31,3201.0,https://tnagriculture.in/ARS/home/reservoir/2025-04-03,verified,0.41705882352941176,0.41705882352941176,6.2208000000000006,8.64,100383221.16864,240693196.032,176153.43927951364,244657.55455488004,0.10038322116864001,,0.0,,,,
2025-04-03,2025-04-03,Hemavathy,117.0,37103.0,95.02,19696.0,37.0,422.0,77.09,10517.0,https://tnagriculture.in/ARS/home/reservoir/2025-04-03,verified,0.5308465622725925,0.5308465622725925,3.1968,36.4608,557728610.476032,1050639959.1029761,90523.29518530561,1032454.8802215937,0.5577286104760321,,0.0,,,,
2025-04-03,2025-04-03,BHAVANISAGAR,105.0,32800.0,75.87,13596.0,261.0,3517.0,48.06,3982.0,https://tnagriculture.in/ARS/home/reservoir/2025-04-03,verified,0.4145121951219512,0.4145121951219512,22.5504,303.8688,384995846.264832,928792568.2176001,638556.2173882368,8604606.19369513,0.384995846264832,0.792,0.0,0.384995846264832,0.486105866496,CWC static live capacity,Agriculture storage clipped to CWC live capacity
