sheet,cell,kind,file_a_value,file_b_value
PlantInfo,E315,changed,Tirunelveli,Tiruvannamalai
PlantInfo,F315,changed,1986-03-23,1999-03-10
PlantInfo,G315,changed,20,7.5
PlantInfo,C316,changed,Sholayar II Power House,Servalar Small Hydro Project
PlantInfo,E316,changed,Coimbatore,Tirunelveli
PlantInfo,F316,changed,1971-03-29,1986-03-23
PlantInfo,G316,changed,25,20
PlantInfo,C317,changed,Tamil Nadu Small Hydro Project Bunched,Sholayar II Power House
PlantInfo,E317,changed,Location TBC,Coimbatore
PlantInfo,F317,changed,N.A.,1971-03-29
PlantInfo,G317,changed,0.35,25
PlantInfo,H317,only_in_b,,Tamil Nadu Generation and Distribution Corp. Ltd. (TANGEDCO)
PlantInfo,C318,changed,Thirumurthy Mini Hydel Project,Tamil Nadu Small Hydro Project Bunched
PlantInfo,E318,changed,Tiruppur,Location TBC
PlantInfo,F318,changed,2000-03-20,N.A.
PlantInfo,G318,changed,0.65,0.35
PlantInfo,H318,only_in_a,Tamil Nadu Generation and Distribution Corp. Ltd. (TANGEDCO),
PlantInfo,C321,changed,Vaigai Hydro Power Project,Thirumurthy Mini Hydel Project
PlantInfo,E321,changed,Kanniyakumari,Tiruppur
PlantInfo,F321,changed,1990-03-04,2000-03-20
PlantInfo,G321,changed,3,0.65
PlantInfo,E322,changed,Theni,Kanniyakumari
PlantInfo,A323,only_in_b,,Small-Hydro
PlantInfo,B323,only_in_b,,operational
PlantInfo,C323,only_in_b,,Vaigai Hydro Power Project
PlantInfo,D323,only_in_b,,Tamil Nadu
PlantInfo,E323,only_in_b,,Theni
PlantInfo,F323,only_in_b,,1990-03-04
PlantInfo,G323,only_in_b,,3
PlantInfo,H323,only_in_b,,Tamil Nadu Generation and Distribution Corp. Ltd. (TANGEDCO)
