component_type,component_id,excel_row,record_kind,unit_sequence,source,plant_name,state,district,commissioning_date,capacity_mw,implementing_agency,duplicate_group_size
Generator,kundah_i_to_v_hydroelectric_power_project__unit_05,88,unit,5,Hydro,Kundah I to V Hydroelectric Power Project,Tamil Nadu,Nilgiris,1961-05-02,35.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1
Generator,kundah_i_to_v_hydroelectric_power_project__unit_06,89,unit,6,Hydro,Kundah I to V Hydroelectric Power Project,Tamil Nadu,Nilgiris,1961-06-16,35.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1
Generator,kundah_i_to_v_hydroelectric_power_project__unit_07,90,unit,7,Hydro,Kundah I to V Hydroelectric Power Project,Tamil Nadu,Nilgiris,1964-02-23,35.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1
Generator,kundah_i_to_v_hydroelectric_power_project__unit_10,91,unit,10,Hydro,Kundah I to V Hydroelectric Power Project,Tamil Nadu,Coimbatore,1965-04-07,60.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1
Generator,kundah_i_to_v_hydroelectric_power_project__unit_11,92,unit,11,Hydro,Kundah I to V Hydroelectric Power Project,Tamil Nadu,Coimbatore,1965-06-11,60.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1
Generator,kundah_i_to_v_hydroelectric_power_project__unit_13,93,unit,13,Hydro,Kundah I to V Hydroelectric Power Project,Tamil Nadu,Coimbatore,1978-02-18,60.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1
Generator,kundah_i_to_v_hydroelectric_power_project__unit_12,94,unit,12,Hydro,Kundah I to V Hydroelectric Power Project,Tamil Nadu,Coimbatore,1966-02-27,50.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1
Generator,kundah_i_to_v_hydroelectric_power_project__unit_14,95,unit,14,Hydro,Kundah I to V Hydroelectric Power Project,Tamil Nadu,Coimbatore,1978-10-19,50.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1
Generator,kundah_i_to_v_hydroelectric_power_project__unit_09,96,unit,9,Hydro,Kundah I to V Hydroelectric Power Project,Tamil Nadu,Nilgiris,1964-10-30,20.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1
Generator,kundah_i_to_v_hydroelectric_power_project__unit_15,97,unit,15,Hydro,Kundah I to V Hydroelectric Power Project,Tamil Nadu,Nilgiris,1989-12-06,20.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1
Generator,lower_mettur_i_to_iv_hydroelectric_power_project__unit_04,102,unit,4,Hydro,Lower Mettur I to IV Hydroelectric Power Project,Tamil Nadu,Salem,1988-08-12,15.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1
Generator,lower_mettur_i_to_iv_hydroelectric_power_project__unit_03,103,unit,3,Hydro,Lower Mettur I to IV Hydroelectric Power Project,Tamil Nadu,Salem,1988-08-07,15.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1
Generator,lower_mettur_i_to_iv_hydroelectric_power_project__unit_05,104,unit,5,Hydro,Lower Mettur I to IV Hydroelectric Power Project,Tamil Nadu,Salem,1988-08-26,15.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1
Generator,lower_mettur_i_to_iv_hydroelectric_power_project__unit_02,105,unit,2,Hydro,Lower Mettur I to IV Hydroelectric Power Project,Tamil Nadu,Salem,1988-08-04,15.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1
Generator,lower_mettur_i_to_iv_hydroelectric_power_project__unit_01,106,unit,1,Hydro,Lower Mettur I to IV Hydroelectric Power Project,Tamil Nadu,Salem,1988-01-04,15.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1
Generator,lower_mettur_i_to_iv_hydroelectric_power_project__unit_06,107,unit,6,Hydro,Lower Mettur I to IV Hydroelectric Power Project,Tamil Nadu,Salem,1988-09-30,15.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1
