name,bus,p_nom,p_min_pu,p_max_pu,p_init,e_sum_max,carrier,marginal_cost,committable,start_up_cost,shut_down_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down
tamil_nadu_tiruppur__aggregate_01,Tamil_Nadu,786.8149999999999,0.0,1.0,,inf,wind,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_tiruppur_karur__aggregate_01,Tamil_Nadu,300.0,0.0,1.0,,inf,wind,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_viluppuram__aggregate_01,Tamil_Nadu,1.7,0.0,1.0,,inf,wind,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_chennai_16__aggregate_01,Tamil_Nadu,16.0,0.0,1.0,,inf,solar,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_coimbatore_11_26__aggregate_01,Tamil_Nadu,11.26,0.0,1.0,,inf,solar,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_cuddalore_140__aggregate_01,Tamil_Nadu,140.0,0.0,1.0,,inf,solar,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_dindigul_109_46__aggregate_01,Tamil_Nadu,109.46,0.0,1.0,,inf,solar,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_erode_7__aggregate_01,Tamil_Nadu,7.0,0.0,1.0,,inf,solar,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_kanniyakumari_1__aggregate_01,Tamil_Nadu,1.0,0.0,1.0,,inf,solar,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_karur_156_49__aggregate_01,Tamil_Nadu,156.49,0.0,1.0,,inf,solar,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_krishnagiri_0_75__aggregate_01,Tamil_Nadu,0.75,0.0,1.0,,inf,solar,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_madurai_1__aggregate_01,Tamil_Nadu,1.0,0.0,1.0,,inf,solar,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_n_a_251__aggregate_01,Tamil_Nadu,251.0,0.0,1.0,,inf,solar,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_n_a_off_grid_75_91__aggregate_01,Tamil_Nadu,75.91,0.0,1.0,,inf,solar,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_n_a_others_districts_not_specified_8930_85__aggregate_01,Tamil_Nadu,8930.85,0.0,1.0,,inf,solar,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_n_a_rooftop_grid_connected_1635_8__aggregate_01,Tamil_Nadu,1635.8,0.0,1.0,,inf,solar,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_nagapattinam_5__aggregate_01,Tamil_Nadu,5.0,0.0,1.0,,inf,solar,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_perambalur_10__aggregate_01,Tamil_Nadu,10.0,0.0,1.0,,inf,solar,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_pudukkottai_20__aggregate_01,Tamil_Nadu,20.0,0.0,1.0,,inf,solar,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_ramanathapuram_245__aggregate_01,Tamil_Nadu,245.0,0.0,1.0,,inf,solar,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_ramanathapuram_kamuthi_solar_power_project_648__aggregate_01,Tamil_Nadu,648.0,0.0,1.0,,inf,solar,0.0,False,0.0,0.0,0,0,1,0,,,,
