,Tamil_Nadu_demand
1018,17991.58
1019,18007.47
1020,17979.12
1021,17840.11
1022,18096.72
1023,18905.75
1024,19079.71
1025,18881.87
1026,18056.09
1027,18535.76
1028,17896.47
1029,17911.61
1030,18548.46
1031,18191.8
1032,17547.44
1033,16841.44
1034,16588.12
1035,16327.76
1036,16152.41
1037,16036.47
1038,16006.62
1039,16861.46
1040,16697.66
1041,17852.75
1042,18510.08
1043,18380.05
1044,18282.25
1045,18124.61
1046,18302.1
1047,19264.69
1048,19476.99
1049,18456.08
1050,17969.05
1051,17983.29
1052,17636.49
1053,17873.78
1054,18176.1
1055,17625.7
1056,17006.28
1057,16398.98
1058,16203.23
1059,15900.6
1060,15633.44
1061,15752.21
1062,15734.28
1063,16308.29
1064,16659.39
1065,17267.42
1066,17588.71
1067,17954.67
1068,17979.23
1069,17862.81
1070,18085.04
1071,19069.93
1072,18927.65
1073,18622.29
1074,17949.75
1075,18479.56
1076,17953.6
1077,18162.21
1078,18591.02
1079,18058.75
1080,17375.44
1081,16713.55
1082,16448.6
1083,16091.7
1084,15825.15
1085,15863.09
1086,15903.34
1087,16402.66
1088,16520.95
1089,17479.21
1090,17822.45
1091,18233.98
1092,18035.15
1093,18074.25
1094,18114.24
1095,18462.23
1096,18941.69
1097,18283.76
1098,17763.24
1099,17811.09
1100,17359.08
1101,17017.4
1102,17534.61
1103,17048.81
1104,16327.78
1105,15564.38
1106,14859.39
1107,14546.56
1108,14320.45
1109,14296.72
1110,14476.22
1111,14965.69
1112,15309.61
1113,16194.64
1114,15777.62
1115,15642.6
1116,15820.58
1117,15590.5
1118,15464.61
1119,15973.87
1120,16011.94
1121,15867.47
1122,16050.22
1123,16389.72
1124,15829.07
1125,15571.28
1126,15768.27
1127,15364.67
1128,14663.86
1129,14141.66
1130,13691.63
1131,13483.64
1132,13324.0
1133,13330.38
1134,13419.26
1135,13558.45
1136,13365.09
1137,13170.73
1138,13043.09
1139,13285.3
1140,13822.22
1141,13665.39
1142,13653.77
1143,14009.28
1144,13972.12
1145,13866.45
1146,13998.38
1147,14467.35
1148,14298.33
1149,14278.38
1150,14197.91
1151,14010.72
1152,13248.24
1153,12821.58
1154,12532.36
1155,12296.33
1156,12156.36
1157,12380.07
1158,12704.72
1159,13355.62
1160,13840.41
1161,14548.08
1162,14897.33
1163,14885.81
1164,14705.49
1165,14423.26
1166,14571.48
1167,15207.38
1168,15565.7
1169,15642.03
1170,15566.0
1171,16432.55
1172,15806.16
1173,15776.08
1174,15769.95
1175,14929.69
1176,14161.22
1177,13581.46
1178,13003.58
1179,12823.03
1180,12486.01
1181,12621.6
1182,12973.42
1183,13751.72
1184,14034.34
1185,14691.86
1186,14773.77
1187,14539.34
1188,14636.62
1189,14395.19
1190,14239.16
1191,15337.0
1192,15523.07
1193,15577.25
1194,15513.4
1195,15909.05
1196,15428.4
1197,15195.78
1198,15197.82
1199,14774.31
1200,14175.85
1201,13510.92
1202,13128.25
1203,12909.05
1204,12789.17
1205,12965.53
1206,13127.4
1207,13980.29
1208,14207.04
1209,14955.19
1210,15015.88
1211,14866.21
1212,14851.52
1213,14597.26
1214,14754.27
1215,15618.07
1216,16081.48
1217,16618.23
1218,16460.72
1219,17117.11
1220,16732.6
1221,16461.65
1222,16781.82
1223,16359.94
1224,15598.91
1225,14725.9
1226,14358.93
1227,14052.91
1228,13836.42
1229,13711.88
1230,14169.97
1231,15108.17
1232,15294.99
1233,15362.65
1234,15514.1
1235,15687.38
1236,16423.56
1237,15362.88
1238,15289.31
1239,15769.55
1240,16501.81
1241,16952.54
1242,16666.8
1243,17467.79
1244,17157.17
1245,16952.58
1246,17252.0
1247,16919.93
1248,16100.09
1249,15379.04
1250,14684.06
1251,14246.0
1252,13982.84
1253,13963.64
1254,14362.26
1255,15647.04
1256,15373.93
1257,16890.88
1258,16977.8
1259,16868.32
1260,17008.18
1261,16662.47
1262,16530.71
1263,17292.95
1264,17645.65
1265,17235.71
1266,16801.96
1267,16806.6
1268,15996.64
1269,15216.34
1270,15751.65
1271,15752.0
1272,15463.24
1273,14931.29
1274,14386.56
1275,14121.07
1276,13715.38
1277,13769.57
1278,14018.42
1279,14356.51
1280,14781.11
1281,15294.26
1282,15396.44
1283,15617.35
1284,15703.42
1285,14891.86
1286,14890.14
1287,15614.02
1288,15560.07
1289,16731.52
1290,15586.05
1291,15905.8
1292,15820.71
1293,15812.27
1294,16133.32
1295,15793.56
1296,14744.89
1297,14421.41
1298,13813.39
1299,13475.0
1300,13335.98
1301,13381.29
1302,13335.1
1303,13784.02
1304,13744.27
1305,13903.09
1306,13807.47
1307,13852.33
1308,12596.26
1309,12516.9
1310,12350.89
1311,12377.54
1312,12393.44
1313,12849.35
1314,12990.33
1315,13593.4
1316,13050.46
1317,13440.73
1318,13615.96
1319,13159.33
1320,12455.59
1321,11847.46
1322,11805.49
1323,11362.55
1324,11065.74
1325,11023.41
1326,12043.74
1327,12928.15
1328,13708.59
1329,14094.66
1330,14010.0
1331,14200.06
1332,14271.59
1333,14795.88
1334,13535.68
1335,13564.47
1336,14734.24
1337,14330.87
1338,14884.21
1339,15360.09
1340,14918.54
1341,14914.86
1342,14823.33
1343,14391.46
1344,13478.26
1345,12889.19
1346,12497.79
1347,12059.38
1348,11973.87
1349,12167.58
1350,12529.48
1351,13635.59
1352,14060.64
1353,15048.35
